index,place,price,time,about_trip,emi
76,kalimpong,"29,500","
                            7 NIGHTS
                        ","
	Breakfast at the hotel and full day excursion to Changu Lake which is 35 Kms from Gangtok at an altitude of 12,400 feet. The lake derives its waters from melting snows off the surrounding mountains Legends say that lamas could forecast the future by studying the color of the lake’s waters. Also visit Baba Mandir. Overnight at hotel.
	Early morning start for Tiger Hill to watch the spectacular sunrise and its amazing effects on the Mt. Kanchendzonga (World’s 3rd highest peak), Visit Ghoom Monastery (SUBJECT TO AVAILABILITY). Breakfast at the Hotel followed by half day local Best points sightseeing covering Padmaja N. Zoological Garden (Closed on Thursday), Himalayan Mountaineering Institute (Closed on Thursday), Tibetan Refugee Self-help Center (Closed on Sunday), Ropeway (entry fees not included), walk around visit to the Mall and Local Market (Closed on Thursday). Evening Free for shopping & individual activity, overnight at hotel
	Morning after breakfast departure transfer to New Jalpaiguri Railway Station / Bagdogra Airport (75 Kms / 03 Hours).Tour Ends.
	 "," 1,813
                            "
77,guwahati,"15,451","
                            2 NIGHTS
                        ","
	Arrival at Guwahati Railway Station/Airport and transfer to hotel.
	 
	The gateway to the northeast and the largest and most cosmopolitan city in the region, Guwahati serves as the starting block for most Northeast itineraries. It’s a somewhat featureless city – a prosaic heap of glass and concrete for the most part – but there are a scattering of interesting temples to explore. Walk its back alleys and old quarters, however, and you will be able to salvage a generous amount of local flavour that lingers amid its suburban sprawl of ponds, palm trees, small single-storey traditional houses and old colonial-era mansions.
	 
	Overnight at hotel.
	 
	 
	After breakfast visit Kamakhya temple - The temple is dedicated to goddess Kamakhya an incarnation of Sati. It is on Nilachal hill, says the Shiva Purana, that the yoni or creative organ of Sati fell when Vishnu, in a bid to save the world from the Shiva’s tandava nrittya or dance of destruction, cut her dead body into 51 pieces with his suddarshan chakra.
	Also visit Navagraha temple, Umananda temple, Balaji Temple, state Zoo. 
	 
	Overnight in Guwahati.
	After breakfast transfer to the airport/railway station in time for onward connection.
	 "," 949
                            "
78,tirupati,"6,000","
                            1 NIGHT
                        ","
	On your arrival in Chennai, you depart for Tirupati "," 369
                            "
79,kodaikanal,"8,499","
                            2 NIGHTS
                        ","
	
	"," 522
                            "
80,mumbai,"8,999","
                            2 NIGHTS
                        ","
	
	"," 553
                            "
81,mumbai,"8,999","
                            2 NIGHTS
                        ","
	
	"," 553
                            "
82,south goa,"12,999","
                            3 NIGHTS
                        ","
	Transfers from Hotel - Dandeli - Hotel."," 799
                            "
83,south goa,"9,999","
                            3 NIGHTS
                        ","
	Half day sightseeing 
	Transfers from Hotel - Dudhsagar water fall droping Point - Hotel
	 "," 614
                            "
84,north goa,"10,999","
                            3 NIGHTS
                        ","
	
	After Breakfast you will be met and transferred for your South Goa Sightseeing. South Goa Tour Includes Shree Mangueshi Temple, Old Goa Churches, Dona Paula, Miramar Beach, Shopping at Panjim, Lunch at Spice Plantation - at extra cost, Mandovi River Cruise at extra cost. Overnight at Hotel.
	"," 676
                            "
85,nainital,"8,999","
                            2 NIGHTS
                        ","
	
		
			Upon arrival in Delhi you will be met Yatra Representative. After doing necessary formalities (should not take more than 5-10 minutes), our representative will hand over the vehicle to you at the airport or nearby pick up location and brief you about the important aspects of Self Drive cars. 
			(Transportation to be arranged by yourself to the nearest pick up location.) Upon receiving your Self Drive vehicle,drive straight from Delhi to Nainital. Enjoy youe Evening at Leisure
			.
			Over Night Stay at hotel
	
		
			
				In the morning, arrive in Nainital and check in at the hotel. Relish a tasty breakfast and proceed for a half-day city tour. The Himalaya Darshan Point, Lake View Point and zoo are some of the amazing places you will visit during the sightseeing tour. In the evening, return to the hotel and refresh yourself. Dinner and overnight stay will be at the hotel.
				 
	
		
			After Breakfast checkout from your Hotel and Drive towards Delhi. Upon your arrival in Delhi, handover the car and complete the necessary checks/formalities.
			 "," 553
                            "
86,kodaikanal,"13,000","
                            4 NIGHTS
                        ","
	Arrival at Coimbatiore airport/railway station & proceed to Ooty. On arrival, check-in to your hotel. Enjoy the rest of the day at leisure and have a comfortable overnight stay.
	 
	Ooty The Queen of Hill Stations in South India, Udhagamandalam, is situated at an altitude of 2,240 meters above sea level. The city is named after the word 'Othakal-mund'. This word in the tribal Toda language means 'House of mountains'. A British base in the 1800s, it was renamed Ootacamund and later Ooty for easy pronunciation. The Nilgiri Mountain Railway that connects Ooty with Mettupalayam is a UNESCO World Heritage Site. The vast tea gardens, quaint cottages from the Raj, the lakes, the misty hill terrain and the home made chocolates make Ooty one of the most charming destinations in southern India. Whether one is looking for solitude, adventure or a memorable family vacation, Ooty offers them all in ample measure.
	 
	
	 "," 799
                            "
87,kodaikanal,"14,899","
                            6 NIGHTS
                        ","
	Upon arrival at Cochin airport, board the vehicle to reach Munnar. On arrival at Munnar, check in at the hotel and enjoy rest of the day at leisure. 
	Munnar, the hill station in Kerala, is famous for its lush green slopes covered with tea and spice plantations. Its greenery and quiet ambience provides a relaxing getaway for a traveler. Tourists can enjoy nature walks and treks along the hill slopes, as well as adventure activities such as hang gliding and paragliding. The tour to spice plantations and spice markets - where pepper, vanilla and cashew are sold are quite interesting. If youre a wildlife enthusiast, the sight of the rare Nilgiri Tahr, seen in these hills, is an additional tourist attraction in Munnar. Stay overnight at the hotel.
	 
	After breakfast, enjoy a local sightseeing tour of Kodaikanal visiting the Pillar Rocks, Coaker's walk and the magnificent Bear Shola waterfalls. In the afternoon, spend some time in Bryant Park and enjoy boating on the beautiful Kodai Lake (on direct payment basis). Overnight stay at hotel
	 
	After breakfast proceed for a site seeing tour of Ooty. Visit the Doddabeta Peak which is the highest peak of Ooty.  From here you will get a very panoramic view of the neighboring regions.  By noon back at Ooty town. Afternoon visit the  famous Botanical garden built in 1847 and the  Ooty Lake were boating facility is available. Horse-back riding around the lake also is available. Evening visit Coonoor. Overnight at Ooty. 
	 
	 
	 
	 "," 916
                            "
88,kodaikanal,"16,600","
                            5 NIGHTS
                        ","
	On arrival at Coimbatore Airport or railway station, receive a transfer to your hotel in Ooty. On arrival, check-in to your hotel. Enjoy the rest of the day at leisure and have a comfortable overnight stay at the hotel.
	 
	Ooty The Queen of Hill Stations in South India, Udhagamandalam, is situated at an altitude of 2,240 meters above sea level. The city is named after the word 'Othakal-mund'. This word in the tribal Toda language means 'House of mountains'. A British base in the 1800s, it was renamed Ootacamund and later Ooty for easy pronunciation. The Nilgiri Mountain Railway that connects Ooty with Mettupalayam is a UNESCO World Heritage Site. The vast tea gardens, quaint cottages from the Raj, the lakes, the misty hill terrain and the home made chocolates make Ooty one of the most charming destinations in southern India. Whether one is looking for solitude, adventure or a memorable family vacation, Ooty offers them all in ample measure.
	 
	Enjoy a tour of the 'Queen of the Blue Mountains', that includes a visit to Dodabetta Peak for spectacular views. Later on, drive to Coonoor and visit Sims Park and 'Dolphin' nose point. In the afternoon visit the Botanical Gardens and the popular Ooty lake. Return to the hotel and have a comfortable overnight stay.
	 
	Enjoy a local sightseeing tour of Kodaikanal visiting the Pillar Rocks, Coaker's walk and the magnificent Bear Shola waterfalls. In the afternoon, spend some time in Bryant Park and enjoy boating on the beautiful Kodai Lake (on direct payment basis). Overnight stay at hotel
	 
	Day at leisure for independent activities / relaxation.  Overnight at the Hotel.
	 
	Check out of the hotel and proceed to Madurai airport/ railway station for onward journey. 
	 
	Tour End
	 "," 1,020
                            "
89,kodaikanal,"8,999","
                            5 NIGHTS
                        ","
	Upon arrival in Bengaluru head straight to Mysore. 
	 
	Arrive Mysore and check into your pre-booked hotel. 
	 
	Enjoy a half-day sightseeing tour of Mysore, known as the 'City Of Palaces'. Visit the Brindavan Gardens… spread over 150 acres, these beautiful gardens are laid out below the Krishnaraja Sagar dam built across the river Cauvery. The gardens are famous for the illuminated dancing fountains that come to life after sunset. Explore the Mysore Palace… built in the Indo-Saracenic style, the Palace is a treasure house of exquisite carvings and works of art from all over the world. Next, visit Chamundi Hill. Half-way up to the top is Nandi, Lord Shiva's Bull- a majestic 4.8 meter monolith. At the top is the 12th century temple of Chamundeshwari, the patron goddess of the Wodeyars. The summit offers a panoramic view of Mysore's lakes, parks and palaces. 
	 
	Return to Mysore hotel for overnight stay.
	After breakfast, drive to Ooty - Known as the ‘Queen of Hill Stations’. Nestled in the Nilgiri Hills, Ooty is a feast for the eyes, with its lofty, eucalyptus covered mountains, dense forests, and acres and acres of tea estates. Upon arrival, check in at your pre booked hotel. Full day is at leisure. 
	 
	Overnight stay at Ooty hotel.
	
	 
	Return to hotel for overnight stay.
	After breakfast, drive to Kodaikanal. 
	This hill station stands 7200 feet above sea level and known as the princes of Hill Stations. The cool and misty weather, the scenic beauty of the rolling hills and the wooded forest of Kodaikanal and its surroundings will mesmerize any visitor throughout the year. Walk through the wooded forests, row in the lake, bath in one of the splashing waterfalls, go for horse riding and cycling around the lake or simply admire the views. 
	 
	Upon arrival, check-in at your pre booked hotel. Rest of the day is free at leisure. 
	 
	Overnight stay at hotel.
	
	 
	Return to hotel & overnight stay."," 553
                            "
90,kodaikanal,"5,999","
                            4 NIGHTS
                        ","
	
		Upon arrival in Bengaluru head straight to Kodaikanal. Arrive Kodaikanal and check into your pre-booked hotel. 
		 
		Overnight in Kodaikanal.
	 
	Today, enjoy full day sightseeing tour of Kodaikanal . 
	 
	Return to hotel for overnight stay
	After breakfast, drive to Ooty - Known as the ‘Queen of Hill Stations’. Nestled in the Nilgiri Hills, Ooty is a feast for the eyes, with its lofty, eucalyptus covered mountains, dense forests, and acres and acres of tea estates. Upon arrival, check in at your pre booked hotel. Full day is at leisure. 
	 
	Overnight stay at Ooty hotel..
	Today , enjoy a stroll around the Botanical Gardens, covering an area of 22 acres. The garden comprises varieties of tree species, grass carpet, ferns, multi-coloured flowering plants, orchids, nurseries and flowerbeds laid out in Italian style. 
	Visit Doddabetta Peak… the highest point (2623 meters) in the Nilgiris, at the junction of the Western and Eastern Ghats. The top of the peak offers beautiful vistas of the Nilgiri Hills. To conclude your tour, explore Raj Bhavan. Built in 1877 by the Duke of Buckingham, Government House or Raj Bhavan is a sprawling, cream-coloured mansion, overlooking the Botanical Gardens. 
	 
	Return to hotel for overnight stay."," 369
                            "
91,kodaikanal,"14,999","
                            4 NIGHTS
                        ","
	
		
			Upon arrival in Bangalore, you will be met Yatra Representative. After doing necessary formalities (should not take more than 5-10 minutes), our representative will hand over the vehicle to you at the airport or nearby pick up location and brief you about the important aspects of Self Drive cars. 
			(Transportation to be arranged by yourself to the nearest pick up location.) Upon receiving your Self Drive vehicle,head straight to Kodaikanal. Arrive Kodaikanal and check into your pre-booked hotel.
			 
			Evening is at leisure. 
			 
			Overnight in Kodaikanal.
	Today, enjoy full day sightseeing tour of Kodaikanal . 
	 
	Return to hotel for overnight stay
	After breakfast, drive to Ooty - Known as the ‘Queen of Hill Stations’. Nestled in the Nilgiri Hills, Ooty is a feast for the eyes, with its lofty, eucalyptus covered mountains, dense forests, and acres and acres of tea estates. Upon arrival, check in at your pre booked hotel. Full day is at leisure. 
	 
	Overnight stay at Ooty hotel..
	Today , enjoy a stroll around the Botanical Gardens, covering an area of 22 acres. The garden comprises varieties of tree species, grass carpet, ferns, multi-coloured flowering plants, orchids, nurseries and flowerbeds laid out in Italian style. 
	Visit Doddabetta Peak… the highest point (2623 meters) in the Nilgiris, at the junction of the Western and Eastern Ghats. The top of the peak offers beautiful vistas of the Nilgiri Hills. To conclude your tour, explore Raj Bhavan. Built in 1877 by the Duke of Buckingham, Government House or Raj Bhavan is a sprawling, cream-coloured mansion, overlooking the Botanical Gardens. 
	 
	Return to hotel for overnight stay.
	
	Upon your arrival in Bangalore, handover the car and complete the necessary checks/formalities."," 922
                            "
92,amritsar,"28,650","
                            8 NIGHTS
                        ","
	After breakfast, check-out from the hotel and drive to Amritsar. Check-in at the hotel. 
	 
	Go to the Golden Temple early in the morning. This is the most important gurudwara of the Sikhs and is a symbol of their religious and historic traditions. Then, visit Jallianwala Bagh, the site of a merciless massacre of innocent Indians at the hands of General Dyer.
	Return to the hotel and enjoy a hot breakfast. Later, check-out from the hotel and drive to Delhi for your return journey.
	 "," 1,760
                            "
93,amritsar,"15,199","
                            4 NIGHTS
                        ","
	After you arrive at the Delhi railway station, your car will pick you up and take you to 
	After breakfast, go on a full-day sightseeing tour of Dalhousie. Visit Panchpula, a picturesque spot 
	 
	After breakfast, drive to Khajjiar to spend the day in what is called India’s ‘mini-Switzerland’. 
	After breakfast, check-out from the hotel and drive to Amritsar. Check-in at the hotel. 
	 
	
		After breakfast, drop at railway station/Airport for onward journey. 
	 "," 934
                            "
94,jaisalmer,"24,999","
                            6 NIGHTS
                        ","
	Your tour of Rajasthan begins at the heart of the famous Thar desert – Jaisalmer. On arrival at the airport or railway station, head to the hotel and check in. Your first visit will be to the Jaisalmer Fort, also known as the Golden Fort of Rajasthan. While you’re here, visit the seven skilfully carved Jain Temples located within the fort. These temples are a must-see for those interested in art, history, architecture, and religion. Just 10 min from the Fort, in the main city is the Patwon-ki-Haveli which is a gigantic five-storied structure that has five elaborately-decorated suites.
	Get ready for another day of sightseeing in Jaisalmer. First, you will visit"," 1,536
                            "
95,jaisalmer,"22,600","
                            6 NIGHTS
                        ","
	"," 1,389
                            "
96,jaisalmer,"22,150","
                            6 NIGHTS
                        ","
	Enjoy a cool one-day break in the lap of the green Mount Abu. On arrival, check in at the hotel. After relaxing for a while, visit the magnificent 
	
		Your cultural extravaganza of Rajasthan ends today. Check out from the hotel in Udaipur and head out to your designated airport or railway station. Enjoy your journey back home.
		 "," 1,361
                            "
97,agra,"6,525","
                            1 NIGHT
                        ","
	
		
			
				
					Soon after your arrival in Delhi, proceed towards Agra.
					 
					Situated on the banks of Yamuna River, Agra is a treasure trove for travellers who wish for a dream vacation. Agra attracts hordes of visitors from all over the world for its alluring attraction – the Taj Mahal. Known as the symbol of love, Taj Mahal is an architectural wonder. Apart from housing one of the Seven Wonders of the World, this city is also known for several other notable attractions, which include Fatehpur Sikri, Agra Fort and Jama Masjid.
					 
					On reaching Agra, check-in at the hotel and relax yourself. Afterwards, you can move out of the hotel to explore the attractions of the city.
					 
					Later, come back to the hotel for an overnight stay.
		
			 
	
		
			
				On this day, check-out from the hotel and leave for Delhi for your onwards Journey"," 401
                            "
98,agra,"4,999","
                            1 NIGHT
                        ","
	
		
			
				
					
						Upon arrival in Delhi you will be met Yatra Representative. After doing necessary formalities (should not take more than 5-10 minutes), our representative will hand over the vehicle to you at the airport or nearby pick up location and brief you about the important aspects of Self Drive cars. 
						(Transportation to be arranged by yourself to the nearest pick up location.) Upon receiving your Self Drive vehicle,drive straight from Delhi to Agra.""
						 
						Situated on the banks of Yamuna River, Agra is a treasure trove for travellers who wish for a dream vacation. Agra attracts hordes of visitors from all over the world for its alluring attraction – the Taj Mahal. Known as the symbol of love, Taj Mahal is an architectural wonder. Apart from housing one of the Seven Wonders of the World, this city is also known for several other notable attractions, which include Fatehpur Sikri, Agra Fort and Jama Masjid.
						 
						On reaching Agra, check-in at the hotel and relax yourself. Afterwards, you can move out of the hotel to explore the attractions of the city.
						 
						Later, come back to the hotel for an overnight stay.
	
		
			
				
					After Breakfast checkout from your Hotel and Drive towards Delhi. Upon your arrival in Delhi, handover the car and complete the necessary checks/formalities.
					 "," 307
                            "
99,corbett,"9,270","
                            2 NIGHTS
                        ","
	
	 "," 570
                            "
100,corbett,"17,000","
                            4 NIGHTS
                        ","
	
		Upon arrival in Delhi, board the vehicle that will take you to the charming hill station of Nainital.
		 
		Located at an altitude of more than 2000 m above sea level, this scenic town is one of the most popular tourist destinations in the Lower Himalayas. This place has a significant association with Hindu mythology. It is believed that the site of the serene Naini Lake is the spot where Goddess Sati’s eyes fell while her charred body was carried by Lord Shiva. This lake is considered as one of the 64 Shakti Peeths, and as a result, a temple has been constructed in the vicinity of the lake, dedicated to Goddess Sati.
		 
		On reaching the hotel at Nainital, complete the check-in process and rest for some time. Thereafter, spend the rest of the day at leisure by exploring the natural beauty of this place.
		 
		Later, come back to the hotel for dinner (at your own cost) and overnight stay. 
	
		et ready for a half-day sightseeing tour of Nainital. During this tour, you will visit the Nainital Zoo, Naina Devi Temple and Eco Cave Garden.
		 
		Established in 1986, the Nainital Zoo is home to a number of Himalayan wild species, including Himalayan bear, snow leopard, red junglefowl, leopard cat, golden pheasant, Tibetan wolf and Lady Amherst pheasant. The park lies at an altitude of 2000 m above sea level and is spread over an approximate area of 11 acres.
		 
		Situated on the shore of the Naini Lake, the Naina Devi Temple is an important pilgrimage spot for the worshippers of Goddess Sati. The temple houses idols of other Hindu deities as well. In its vicinity, there lies a revered church and a buzzing Tibetan market.
		 
		Eco Cave Garden was established in the town in recent years, and since its inception, it has become a popular tourist spot. The garden has beautiful fountains, a flower garden, a cafe and artificial rocky caves, which are named as Tiger Cave, Monkey Cave, Bat Cave and Flying Fox Cave. These caves have been formed to resemble the natural habitat of the above-mentioned animals. 
		 
		On completion of the half-day tour, proceed to Mallital from where you can hop onto a cable car to enjoy a ride (on direct payment basis) till Snow View Point. The ride will give you an opportunity to behold the scenic vistas of this hill station. After the cable car ride, head to the most popular shopping street in the town – the Mall Road and go on a shopping spree. Here, you can purchase wooden handicrafts, winter clothes, perfumed candles and much more.
		 
		Later, proceed to Naini Lake to enjoy a boat ride (on direct payment basis). Later, return to the hotel for dinner (at your own cost) and overnight stay.
		 
	
		Check-out from the hotel and drive to Corbett, the oldest national park in the country.
		 
		Established in 1936, this national park has been named after Jim Corbett, the famous author, conservationist and hunter. This ecotourism destination has abundance of flora and fauna that can be witnessed during the safari tour. Featuring grasslands, hills, marshy depressions, river belts and a lake, this wildlife reserve is spread over an area of approximately 520 sq km. There are more than 488 plant species and 586 bird species, including the migratory ones in the park. Sambar deer, leopards, Himalayan black bears, fishing cat and Indian python are some of the many wild species in this wonderful national park, located in the district of Nainital.  
		 
		 
		Upon arrival, check-in at the designated resort and rest for a while. Thereafter, enjoy the rest of the day at leisure, by indulging in various games and activities on offer at the resort. 
		 
		After dinner (at your own cost), stay overnight at the resort. 
	Early morning, go on an exciting Jeep safari (on direct payment basis) which needs to booked in advance) into the national park to witness varied wildlife species in their natural habitat. If you are lucky, you might just spot some Royal Bengal tigers during the safari.
	 
	In the afternoon, come back to the resort and spend the rest of the day in leisure activities.
	 
	Enjoy dinner (at your own cost) and overnight stay at the resort.
	Check-out from the resort and drive towards Delhi. On reaching Delhi, transfer to the railway station or airport to catch your return train or flight. 
	 
	"," 1,045
                            "
101,corbett,"10,999","
                            4 NIGHTS
                        ","
	Upon arrival in Delhi head straight to Nainital. 
	 
	Arrive Nainital and check into your pre-booked hotel. 
	 
	Visit the State Observatory of Nainital, which is devoted to astronomical studies. Later, visit Hanumangarhi, popular for its spectacular view of the sunset.
	 
	Return to hotel for overnight stay.
	After breakfast, enjoy full day sightseeing tour of Nainital - Visit Snow View Peak, at an altitude of 2270 m, situated on top of the Sher-ka-danda ridge. A ropeway or cable car ride is the best-known way to access the snow viewpoint. Also visit Naini Peak, also known as Cheena Peak. Later, visit Dorothy’s Seat, which provides picture perfect views of Nainital and its surrounding regions. Then proceed to Land's End, to enjoy spectacular views of Khurpatal and its surroundings. 
	 
	Visit Mall road & return to hotel for overnight stay.
	
	 
	Situated in the picturesque Kumaon hills in Nainital district, the park has a population of 582 species of birds, 26 species of reptiles, 7 species of amphibians and 50 species of mammals. It is named after the famous hunter and naturalist, Jim Corbett, who popularized this land and its animals in his book ""The Man-Eaters of Kumaon"". 
	 
	Upon arrival, check in at your pre booked hotel.
	 
	Overnight stay at hotel.
	
	 
	Return to the hotel for lunch. 
	 
	Post lunch in the afternoon, visit Garjiya Devi Temple and Corbett Museum. The Corbett Museum is the place where the hunts, hunting equipments and many other articles of E. James Corbett are preserved. It was originally the home of Jim Corbett. 
	 
	Return to hotel for overnight stay.
	"," 676
                            "
102,kalimpong,"32,700","
                            7 NIGHTS
                        ","
	Breakfast at the hotel full day city tour visiting "," 2,009
                            "
103,pushkar,"20,850","
                            6 NIGHTS
                        ","
	On your arrival at the Jaipur airport or railway station, head to your hotel to check in. Set the ball rolling by visiting the impressive
	Next, visit the remarkable
	
		Escape to the serene hill station of Mount Abu, and enjoy the scenic beauty on the way. Complete the check-in formalities and freshen up on arrival. Visit the Dilwara Jain Temple - an assortment of five marble Jain Temples, and a popular Jain pilgrimage site. Learn about Jain values, and view the spell-binding carved ceilings, doorways, pillars, and panels. Head towards Guru Shikhar, which is a beautiful sunrise and sunset point. Walk to this point and enjoy the bewitching view of the sunset. Return and unwind at the hotel.
	 
	
		After traversing through the various fascinating places of Rajasthan, it is time to head back home. On this day, check out from the hotel, and travel back to Jaipur. We wish you a comfortable and pleasant return journey."," 1,281
                            "
104,pushkar,"19,700","
                            5 NIGHTS
                        ","
	
		Once you arrive at the airport or railway station in Jaipur, transfer to the hotel and check-in. After 
	
		Pushkar is famous among devotees and travelers for the many temples located in this sacred city. 
	
		Start your road trip to Udaipur from Pushkar and enjoy the sights on the way. Visit the splendid City 
	
		Continue the sightseeing tour of Udaipur by visiting Sajjan Garh Palace, Lake Pichola, and Bagore ki 
	
		As soon as you reach Jodhpur, the Blue City, embark on a sightseeing tour. Visit Mehrangarh Fort 
	Check out from the hotel and proceed for Jaipur. Head to the nearest airport or railway station. We "," 1,211
                            "
105,pahalgam,"16,344","
                            3 NIGHTS
                        ","
	
		On arrival in Srinagar, meet a Yatra representative who will arrange your transfers to Gulmarg via Tangmarg Road.
		 
		Srinagar, situated on the banks of river Jhelum, is the summer capital of Jammu and Kashmir. Its awe-inspiring landscape, magnificent architecture, tombs and temples, exquisite gardens and Dal Lake make it a heaven on earth. Surrounded by a number of lakes, this scenic city, serene in its own way, is also known as the Kashmiri Venice or the Venice of the East. Bestowing its old-world charm on tourists, Srinagar aces in natural beauty and historical significance.
		 
		Drive from Srinagar to Gulmarg via Tangmarg Road, and after covering around 50 km, arrive at your destination. Post reaching here, transfer to the hotel and relax for some time. 
		 
		As serene and peaceful as it can get, Gulmarg is truly a fantasy for all. Gulmarg derived its name from the immense lushness of hills, full of colourful flowers, and is thus one of the most popular destinations in India. A wide expanse of panoramic surroundings, spectacular views and simplicity add solace to the omnipresent charm of this town.
		 
		You may go on a fun-filled gondola ride at your own expense that offers a thrilling view of fir-clad slopes. With the evening at your leisure, you may opt for a stroll through enchanting valleys, along mountain streams, and to the lakes in the area. 
		 
		Later, Drive back to Srinagar, return to the hotel and have a comfortable sleep in your room.
		 
	
		After a delectable breakfast, check-out from the hotel and drive to Pahalgam via NH1 A. 
		 
		Also known as the village of shepherds, Pahalgam attracts hordes of tourists owing to its gradually dropping temperature and the glistening river, Lidder flowing through here. Also, one of the best health resorts in the country, this astounding site is famous for its vast meadows, pine forests, pastures and a favourable weather. Its enthralling picturesque beauty is the reason behind some many Bollywood movies being shot here. 
		 
		After covering a distance of about 140 km, reach Pahalgam and check-in at the hotel. After sumptuous Lunch, depart for an excursion to the Aru Valley. About 11 km from Pahalgam, the Aru Valley offers an eclectic view and calm environs to tourists. 
		Next, take a tour of the Betaab Valley, set amidst pine trees. It has been a favourite shooting location for many Bollywood directors. Being at a walking distance from Pahalgam, this valley is the base camp for various adventure activities, such as mountaineering. 
		Later, trek to Chandanwari, which is the starting point for the Amarnath Yatra; it is approximately 16 km from Pahalgam. Being almost on the edge of the tree line, you will see trees giving way to alpine grasslands here.
		Thereon, return to the hotel and have a comfortable sleep in your room. 
	
		After a wholesome breakfast, check-out from the hotel and drive towards Srinagar through NH-1A and NH-501; en route visit Avantipur. 
		 
		Overlooked by river Jhelum, the town of Avantipur houses two temples that were almost ruined during medieval times. Dedicated to Lord Vishnu and Lord Shiva, these temples display intricate carvings and alluring sculptures along with an impressive architecture. 
		After covering a distance of about 90 km, arrive in Srinagar, head to Dal Lake and check-in at the houseboat. After spending some moments of relaxation, proceed to experience a soothing shikara ride. (Unique in its own way, Dal Lake captures the sight of all with its ever-charming beauty and floating market. The pulsating surroundings of this lake make it even more peaceful and will also rejuvenate you completely.) 
		Begin the excursion by paying homage at Shankaracharya Temple. Named after the great saint, Shankaracharya, this temple is situated atop Gopadari Hill and is a revered Hindu pilgrimage site. Dedicated to Lord Shiva, this spiritual place can be reached after climbing around a hundred steps. It stands strong in an octagonal structure, resembling the shape of a Shiva linga.
		After this, journey to the Mughal Gardens and explore its unending beauty. With bright and colourful flowerbeds, gushing fountains and terraced lawns, the panoramic expanse of Mughal Gardens is beyond description.
		 
		After a jaunt to the astonishing sites of Srinagar, treat yourselves by indulging in some shopping at the bustling Lal Chowk. You can buy locally produced products, such as leather goods, embroidered mats and carpets, antique jewellery and the highly demanded Pashmina shawls.  
		 
		Spend the evening at leisure, and later return to the houseboat. 
		 
		Followed by a hearty dinner, enjoy a pleasurable overnight stay. 
	 
	After a scrumptious breakfast, check-out from the hotel and transfer to the Srinagar airport to continue your onward journey."," 1,004
                            "
106,munnar,"20,399","
                            7 NIGHTS
                        ","
	Relish a lip-smacking breakfast at the hotel in Thekkady and then, head to explore Kumarakom, which is known for its breathtaking panoramas. It houses the largest fresh water lake of Kerala called Lake Vembanad. This lake is one of the most-visited tourist attractions of the state and offers spectacular views of its picturesque surroundings. In the evening, embark on a 2-hour motorboat cruise (on direct payment basis) on Lake Vembanad.
	 
	After this enriching jaunt, return to the hotel for an overnight stay.
	Post breakfast, you may indulge in various recreational activities, such as boating, fishing, swimming, meditation and yoga at Kumarakom. Explore the scenic beauty of this place by going on a sightseeing tour.
	 
	Retire to the hotel for comfortable overnight stay."," 1,253
                            "
107,mount abu,"22,050","
                            6 NIGHTS
                        ","
	
		Begin your exciting trip at Jodhpur, nicknamed as `Sun City.' After arriving here, head to the hotel and check-in. Set out to explore the first tourist attraction, Mehrangarh Fort, which is one of the largest forts in India. The majestic palaces, vast courtyards, and sturdy architecture inside the fort will leave you in awe. After this, explore the spectacular memorial of Jaswant Thada, which was constructed in the year 1899 by Maharaja Sardar Singh. This imperial monument still serves as a cremation ground for the royal family and displays a magnificent demeanor. Afterward, return to your hotel and take rest.
	
		This day, continue your exciting trip and visit the famous landmark of Ghanta Ghar. This tall structure is located in the heart of the city and was built by Maharaja Sardar Singh. This historic monument is surrounded by a local market and has stood witness to the changing horizon of this wonderful city. Next, visit the local bazaar, where you can indulge in a shopping spree and purchase authentic Rajasthani textiles and handicrafts. At last, visit the well-maintained Umaid Bhawan Palace museum, and here you can see on display a unique collection of items belonging to the royal family. 
	
		On day three, enjoy your journey to Mount Abu, famous for its rocky plateau, and evergreen forest. After arriving here, check-in at the hotel and freshen up. Start your excursion at the extraordinary Dilwara Jain Temples and then continue to weave the magical experience by visiting Guru Shikhar, Sunset Point, Nakki Lake, and Mall Road. Please note that you have to walk up to the Guru Shikhar point, as vehicles are not permitted. Learn about the Jain heritage at the temples and various legends related to the mesmerizing Nakki Lake and return back to the hotel for an overnight stay.
	
		On this day, board the departing vehicle to Udaipur and enjoy your journey. After arriving at Udaipur, complete the check-in formalities and charge your batteries for another fun-filled day. Begin your trip at the awe-inspiring City Palace, which is an impressive cluster of palaces and lies on the bank of Lake Pichola. Witness a series of courtyards, terraces, corridors and extensive gardens, presenting medieval-era architecture. Next, indulge in a relaxing boat ride on Lake Pichola, and enjoy the view of several marble temples, ghats, and palaces adorning the edges of this lake. Return to your overnight stay and relax.
	
		On this day, wake up with new zeal to explore the remarkable historic monuments and temples. First, visit the Jagdish Temple and enjoy the blissful ambiance of this Hindu temple. An important tourist spot, this temple boasts of Maru-Gurjara architecture.  Next, lose yourself in the exuberant cultural institution of Lok Kala Mandal, which is a puppet museum. Explore the Rajasthani culture and lifestyle of the imperial medieval era in Udaipur, through a collection of dolls, dresses, masks, musical instruments, paintings, and puppets. At last, visit the beautiful Sahelion-Ki-Bari, which is a stunning garden, essentially built for royal family ladies to relax. "," 1,355
                            "
